Model,Accuracy,Precision,Recall,F1-Score,AUC
Logistic Regression,0.9824561403508771,0.9861111111111112,0.9861111111111112,0.9861111111111112,0.9953703703703703
Balanced Logistic Regression,0.956140350877193,0.9855072463768116,0.9444444444444444,0.9645390070921985,0.9953703703703703
Decision Tree,0.9122807017543859,0.9558823529411765,0.9027777777777778,0.9285714285714286,0.9156746031746031
